month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0.30493836273713737,0.3165817770232032,0.32788932358947864,0.3369159223444305,0.3484695258482813,0.3618341084126867,0.3698531040082675,0.36496887379739673,0.2950517949853596,0.18408995841637754,0.11387638099456214,0.07733200462587043,0.06545360596442017,0.07041657439531508,0.08658620604807954,0.10427154843630818,0.11103811421963043,0.11949632144878325,0.1561477325853202,0.19061046726212447,0.22263477768755688,0.2501931546959967,0.2742944317315027,0.2965305971801876
2,0.23264157394986718,0.24918856361293037,0.26208080170441095,0.27393408558878457,0.2872682080012625,0.2948433677897893,0.2951037639075199,0.27236381809095456,0.17611983481943239,0.07899602830163864,0.04237881059470265,0.03187090665193719,0.04540624424629791,0.06839474999342435,0.08988795076146136,0.09543780741208344,0.08890686235829454,0.07065283147899735,0.0668415792103948,0.09024172124464085,0.12171940345616665,0.15618243509824034,0.1838041505563008,0.2058983666061706
3,0.14229103614576413,0.1594867252282178,0.17121256858837136,0.1808764548116434,0.19000639748037695,0.19864053541989615,0.1988029329986959,0.15559656504515146,0.07547304446248862,0.03326689796018799,0.030814940577249574,0.05889372800866121,0.10246672079919295,0.14399498043847345,0.17189537659014298,0.18405181959105335,0.17527865948180407,0.13456115745183436,0.0640584631283679,0.03643488103147068,0.049304889151349625,0.0754730444624886,0.10099899116655595,0.12594793435200904
4,0.037003559623696926,0.04994406305619121,0.06151919654207984,0.07315153826595473,0.07895245359776251,0.08048436308161709,0.067767607424358,0.037678616831934915,0.03116831934909738,0.057834986015764055,0.11358377828629546,0.17972412916348843,0.25112636664124083,0.295884820747521,0.3144202898550724,0.307326468344775,0.26301042461225527,0.19455504703788454,0.09949402491736588,0.026094584286803963,0.009186371726417493,0.007632850241545893,0.01039028731248411,0.01827993897787948
5,0.02337171821559509,0.03223099825299574,0.04262321301149086,0.05185280873994243,0.05775202381831155,0.05942152013976034,0.04585394060185526,0.04848428926453582,0.09523018626510175,0.1559927167146478,0.22036367215373637,0.2781895130533205,0.3246130754656628,0.3570150832902733,0.3907027386137152,0.3976858345021038,0.3619632883049137,0.3028407273443075,0.20666199158485274,0.09028444181983711,0.02752515932186708,0.02063679535444502,0.021341748480598405,0.02137250559779533
6,0.030465293668954993,0.02224510551741673,0.020908975336892954,0.0227536231884058,0.023698194762267987,0.023619374523264684,0.046385710653445204,0.11216501398423596,0.20676964149504198,0.30293668954996184,0.3653623188405797,0.39543096872616323,0.42209255021612,0.4508060005085177,0.4599326214085939,0.447673531655225,0.4277688787185355,0.3934490211034833,0.3212217137045512,0.18676709890668702,0.08795321637426902,0.06578057462496822,0.04883803712178998,0.03862573099415205
7,0.06204940823306514,0.05167564774488816,0.04661794739302674,0.03943677566989001,0.03172658153096626,0.027301247508673503,0.06488275386924534,0.1581248000787382,0.26671218720011813,0.3575453359907483,0.40266848748800477,0.42114859378460173,0.4451416057675746,0.46511527767525407,0.4878324844368987,0.5066435373145346,0.4980499987697153,0.45600501956152656,0.3813821018183607,0.25404640633842673,0.15491129647400406,0.12023818311557295,0.09574690583400998,0.07604266627297557
8,0.03287812799881892,0.0298073374178785,0.028167367928938754,0.028626264117516793,0.02803695775202382,0.030041091508575087,0.038060087104155906,0.0953544450185773,0.19113456853915997,0.30178760365148494,0.3823441844442804,0.4196968578529071,0.45203366058906036,0.47494648261607736,0.4895708767008686,0.4930279766738023,0.46532442607219315,0.39923107207007696,0.28500282965478213,0.15513028714844615,0.08511724613075465,0.05991732486897468,0.04665362564897516,0.038018257424768095
9,0.021383168065090264,0.020263157894736844,0.021346300533943555,0.025601322145944575,0.029511823035850496,0.03400203407068395,0.03252606153063819,0.03357360793287567,0.07486905669972033,0.16274980930587338,0.2603826595474193,0.32110094075769136,0.3560144927536232,0.3760653445207221,0.3904602084922451,0.38449275362318835,0.34347571828121026,0.26555301296720063,0.14643910500889906,0.06065090261886601,0.03912916348843122,0.029824561403508767,0.02580981439105009,0.02302695143656242
10,0.0463928052951453,0.05238183115572943,0.0618021210108019,0.07008439752958835,0.07589503211043036,0.07973352033660588,0.0829544056494673,0.05569375753549371,0.051529243867030824,0.0775879038409488,0.13223591939174728,0.18909475652666025,0.2315223542727787,0.26025565315814075,0.2754779656012401,0.27073152727541155,0.23486134691567634,0.15675549322113136,0.0663098841071824,0.03255825397997096,0.030663615560640733,0.03207475209763539,0.03597598484289265,0.03942201225363549
11,0.1280841596745487,0.1418700737350623,0.15289092295957285,0.1596554792779049,0.16527841342486654,0.16868548182049323,0.16888634630053395,0.15013221459445716,0.09771548436308163,0.05890795830155098,0.053086702262903636,0.07489956775997966,0.11220950928044751,0.14882023900330538,0.16103991863717265,0.15279176201372996,0.1134464785151284,0.05709000762776507,0.04096872616323418,0.05536104754640224,0.07593821510297484,0.09622044241037375,0.1123531655225019,0.1283536740401729
12,0.27485667183386236,0.29639772643389684,0.3097007947639084,0.31463423636229426,0.3202258802686942,0.327356610319628,0.3321830171501685,0.3194766368937772,0.24347949115425307,0.15338205260697327,0.10588691223149037,0.09024507270982506,0.088128983046677,0.1161622499446372,0.14198592554317072,0.1469107551487414,0.14287911222656924,0.12928446642553088,0.14055264388179425,0.16116360325779389,0.18155188110528778,0.2001685490022391,0.2223173642380847,0.24498789364129972
